Chemical Compound,Hepatobiliary disorders,Metabolism and nutrition disorders,Eye disorders,Musculoskeletal and connective tissue disorders,Gastrointestinal disorders,Immune system disorders,Reproductive system and breast disorders,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",General disorders and administration site conditions,Endocrine disorders,Surgical and medical procedures,Vascular disorders,Blood and lymphatic system disorders,Skin and subcutaneous tissue disorders,"Congenital, familial and genetic disorders",Infections and infestations,"Respiratory, thoracic and mediastinal disorders",Psychiatric disorders,Renal and urinary disorders,"Pregnancy, puerperium and perinatal conditions",Ear and labyrinth disorders,Cardiac disorders,Nervous system disorders,"Injury, poisoning and procedural complications",Canonical_SMILES
CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
C[N+](C)(C)CC(CC(=O)O)O,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,C[N+](C)(C)CC(O)CC(=O)O
C(CC(=O)O)CN,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NCCCC(=O)O
C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2C=O
CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O
CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,CCCCCC(O)C=CC1C(O)CC2OC(=CCCCC(=O)O)CC21
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O
C(C1C(C(C(C(O1)O)O)O)O)O,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,OCC1OC(O)C(O)C(O)C1O
CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O
C(C(C1C(=O)C(=C(O1)O)O)O)O,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,O=C1C(O)=C(O)OC1C(O)CO
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O
