Chemical Compound,Hepatobiliary disorders,Metabolism and nutrition disorders,Eye disorders,Musculoskeletal and connective tissue disorders,Gastrointestinal disorders,Immune system disorders,Reproductive system and breast disorders,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",General disorders and administration site conditions,Endocrine disorders,Surgical and medical procedures,Vascular disorders,Blood and lymphatic system disorders,Skin and subcutaneous tissue disorders,"Congenital, familial and genetic disorders",Infections and infestations,"Respiratory, thoracic and mediastinal disorders",Psychiatric disorders,Renal and urinary disorders,"Pregnancy, puerperium and perinatal conditions",Ear and labyrinth disorders,Cardiac disorders,Nervous system disorders,"Injury, poisoning and procedural complications",Canonical_SMILES,Compound_Name
CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,"3-hydroxy-10,13-dimethyl-1,2,3,4,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-17-one"
C[N+](C)(C)CC(CC(=O)O)O,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,C[N+](C)(C)CC(O)CC(=O)O,(3-carboxy-2-hydroxypropyl)-trimethylazanium
C(CC(=O)O)CN,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NCCCC(=O)O,4-aminobutanoic acid
C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2C=O,"2-[[4-[(2-amino-5-formyl-4-oxo-3,6,7,8-tetrahydropteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid"
CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,7-[3-hydroxy-2-(3-hydroxyoct-1-enyl)-5-oxocyclopentyl]hept-5-enoic acid
CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,CCCCCC(O)C=CC1C(O)CC2OC(=CCCCC(=O)O)CC21,"5-[5-hydroxy-4-(3-hydroxyoct-1-enyl)-3,3a,4,5,6,6a-hexahydrocyclopenta[b]furan-2-ylidene]pentanoic acid"
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,"2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol"
C(C1C(C(C(C(O1)O)O)O)O)O,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,OCC1OC(O)C(O)C(O)C1O,"6-(hydroxymethyl)oxane-2,3,4,5-tetrol"
CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,7-[3-hydroxy-2-(3-hydroxyoct-1-enyl)-5-oxocyclopentyl]heptanoic acid
C(C(C1C(=O)C(=C(O1)O)O)O)O,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,O=C1C(O)=C(O)OC1C(O)CO,"2-(1,2-dihydroxyethyl)-3,4-dihydroxy-2H-furan-5-one"
